date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2011.1.18,15760,2305511,28150,28650,28150,28300,28150,28100,28270,28670,29500,0.010714286,0
2011.1.19,15760,1591589,28500,28700,28200,28500,28400,28266.66667,28220,28595,29415,0.007067138,0.010714286
2011.1.20,15760,1058295,28600,28700,28250,28400,28450,28400,28240,28530,29297.5,-0.003508772,0.007067138
2011.1.21,15760,992762,28450,28650,28200,28350,28375,28416.66667,28310,28470,29170,-0.001760563,-0.003508772
2011.1.24,15760,918108,28300,28550,28150,28400,28375,28383.33333,28390,28400,29057.5,0.001763668,-0.001760563
2011.1.25,15760,1592077,28400,28750,28400,28500,28450,28416.66667,28430,28350,28962.5,0.003521127,0.001763668
2011.1.26,15760,1658244,28700,29100,28600,28800,28650,28566.66667,28490,28355,28890,0.010526316,0.003521127
2011.1.27,15760,1319261,28750,28950,28500,28800,28800,28700,28570,28405,28830,0,0.010526316
2011.1.28,15760,1004059,29000,29000,28550,28700,28750,28766.66667,28640,28475,28755,-0.003472222,0
2011.1.31,15760,1496323,28450,28450,28100,28400,28550,28633.33333,28640,28515,28672.5,-0.010452962,-0.003472222
2011.2.1,15760,1079197,28450,28700,28150,28650,28525,28583.33333,28670,28550,28610,0.008802817,-0.010452962
2011.2.7,15760,1340911,28800,28900,28400,28400,28525,28483.33333,28590,28540,28567.5,-0.008726003,0.008802817
2011.2.8,15760,1136302,28550,28550,28150,28200,28300,28416.66667,28470,28520,28525,-0.007042254,-0.008726003
2011.2.9,15760,1117654,28300,28550,28200,28550,28375,28383.33333,28440,28540,28505,0.012411348,-0.007042254
2011.2.10,15760,1554989,28500,28550,28000,28150,28350,28300,28390,28515,28457.5,-0.014010508,0.012411348
2011.2.11,15760,1535594,27950,28050,27800,27900,28025,28200,28240,28455,28402.5,-0.008880995,-0.014010508
2011.2.14,15760,1183081,27950,28250,27900,28050,27975,28033.33333,28170,28380,28367.5,0.005376344,-0.008880995
2011.2.15,15760,3051708,29000,29000,28500,28500,28275,28150,28230,28350,28377.5,0.016042781,0.005376344
2011.2.16,15760,3243411,28550,29400,28400,29050,28775,28533.33333,28330,28385,28430,0.019298246,0.016042781
2011.2.17,15760,1420446,29100,29250,28650,29050,29050,28866.66667,28510,28450,28482.5,0,0.019298246
2011.2.18,15760,2269786,29100,29650,29100,29350,29200,29150,28800,28520,28535,0.010327022,0
2011.2.21,15760,1199144,29500,29600,29250,29350,29350,29250,29060,28615,28577.5,0,0.010327022
2011.2.22,15760,1996230,29200,29200,28500,28700,29025,29133.33333,29100,28665,28592.5,-0.022146508,0
2011.2.23,15760,1337636,28350,28850,28300,28750,28725,28933.33333,29040,28685,28612.5,0.00174216,-0.022146508
2011.2.24,15760,917901,28650,28700,28300,28500,28625,28650,28930,28720,28617.5,-0.008695652,0.00174216
2011.2.25,15760,1171338,28500,28550,28050,28150,28325,28466.66667,28690,28745,28600,-0.012280702,-0.008695652
2011.2.28,15760,2419150,28200,28200,27450,27600,27875,28083.33333,28340,28700,28540,-0.019538188,-0.012280702
2011.3.2,15760,1176011,27550,27600,27250,27450,27525,27733.33333,28090,28595,28472.5,-0.005434783,-0.019538188
2011.3.3,15760,1306786,27450,27600,27100,27200,27325,27416.66667,27780,28410,28397.5,-0.009107468,-0.005434783
2011.3.4,15760,1228978,27400,27800,27250,27500,27350,27383.33333,27580,28255,28352.5,0.011029412,-0.009107468
2011.3.7,15760,728950,27550,27700,27450,27600,27550,27433.33333,27470,28080,28300,0.003636364,0.011029412
2011.3.8,15760,1122278,27400,27650,27150,27350,27475,27483.33333,27420,27880,28247.5,-0.009057971,0.003636364
2011.3.9,15760,1067660,27600,27800,27400,27450,27400,27466.66667,27420,27755,28210,0.003656307,-0.009057971
2011.3.10,15760,1769731,27650,27700,27100,27250,27350,27350,27430,27605,28145,-0.007285974,0.003656307
2011.3.11,15760,1009374,27100,27250,27000,27050,27150,27250,27340,27460,28090,-0.00733945,-0.007285974
2011.3.14,15760,3027802,26900,26950,26000,26450,26750,26916.66667,27110,27290,28017.5,-0.022181146,-0.00733945
2011.3.15,15760,1990247,26200,26600,25650,25800,26125,26433.33333,26800,27110,27905,-0.024574669,-0.022181146
2011.3.16,15760,2212071,25800,26500,25800,26500,26150,26250,26610,27015,27805,0.027131783,-0.024574669
2011.3.17,15760,1216195,26100,26450,26000,26300,26400,26200,26420,26925,27667.5,-0.00754717,0.027131783
2011.3.18,15760,1124434,26250,26300,26050,26100,26200,26300,26230,26785,27520,-0.007604563,-0.00754717
2011.3.21,15760,953951,26150,26750,26150,26450,26275,26283.33333,26230,26670,27375,0.013409962,-0.007604563
2011.3.22,15760,723035,26500,26700,26400,26450,26450,26333.33333,26360,26580,27230,0,0.013409962
2011.3.23,15760,725713,26450,26750,26250,26600,26525,26500,26380,26495,27125,0.005671078,0
2011.3.24,15760,925227,26500,26600,26300,26600,26600,26550,26440,26430,27017.5,0,0.005671078
2011.3.25,15760,768773,26450,26600,26350,26550,26575,26583.33333,26530,26380,26920,-0.001879699,0
2011.3.28,15760,795633,26450,26500,26250,26350,26450,26500,26510,26370,26830,-0.007532957,-0.001879699
2011.3.29,15760,1688820,26500,26500,25900,26150,26250,26350,26450,26405,26757.5,-0.007590133,-0.007532957
2011.3.30,15760,1208577,26050,26550,26000,26400,26275,26300,26410,26395,26705,0.009560229,-0.007590133
2011.3.31,15760,1906843,26500,27050,26450,26900,26650,26483.33333,26470,26455,26690,0.018939394,0.009560229
2011.4.1,15760,1842059,27000,27900,26800,27250,27075,26850,26610,26570,26677.5,0.013011152,0.018939394
2011.4.4,15760,1742025,27500,27700,27450,27550,27400,27233.33333,26850,26680,26675,0.011009174,0.013011152
2011.4.5,15760,1146683,27500,27550,27100,27350,27450,27383.33333,27090,26770,26675,-0.007259528,0.011009174
2011.4.6,15760,1044563,27200,27250,26900,27150,27250,27350,27240,26825,26660,-0.007312614,-0.007259528
2011.4.7,15760,1191547,27050,27100,26700,26900,27025,27133.33333,27240,26855,26642.5,-0.009208103,-0.007312614
2011.4.8,15760,769079,26700,26900,26650,26800,26850,26950,27150,26880,26630,-0.003717472,-0.009208103
2011.4.11,15760,1859278,26800,26800,26200,26650,26725,26783.33333,26970,26910,26640,-0.005597015,-0.003717472
2011.4.12,15760,1135226,26350,26400,26150,26350,26500,26600,26770,26930,26667.5,-0.011257036,-0.005597015
2011.4.13,15760,969162,26350,26400,26050,26250,26300,26416.66667,26590,26915,26655,-0.003795066,-0.011257036
2011.4.14,15760,1880251,26300,26350,25850,26150,26200,26250,26440,26840,26647.5,-0.003809524,-0.003795066
2011.4.15,15760,1445418,26200,26600,26000,26150,26150,26183.33333,26310,26730,26650,0,-0.003809524
