company,year,PROFIT,INTEREST,GAS,ROE,EPS,BPS,PER,PBR,PSR,DR,ASSET,SALES,OPERATION_PROFIT,CASH_FLOW
한국타이어월드와이드,2011,-0.0547412807681561,3.4,-19.66,11.61,2337.33,21441.68,19.3597,2.11038,1.06128,131.18,7436379614.15,6488973252.84,578102351.84,717199556.08
하이트진로,2011,-0.2084505281580099,3.4,-19.66,6.91,1396.17,21887.71,18.01357,1.14905,0.91974,151.06,3573282814.43,1373664295.63,124995581.97,138791076.98
두산중공업,2011,-0.09432657551469437,3.4,-19.66,5.25,2596.29,47032.83,25.07424,1.38414,0.81101,183.29,13589168593.81,8495506109.43,526156839.36,454084302.4
한전KPS,2011,0.25852773321410716,3.4,-19.66,22.62,2325.86,10981.18,17.71388,3.75187,2.00325,36.08,672432243.62,925497007.3,117068165.37,129736203.84
롯데하이마트,2011,-0.14835802013599708,3.4,-19.66,11.6,6603.68,60485.44,12.25075,1.33751,0.50547,93.86,2768249520.24,3410556441.87,250784650.64,181418880.72
SKC,2011,-0.14060084156962516,3.4,-19.66,6.96,3479.58,31169.45,10.9496,1.22235,0.55782,176.66,3179610656.58,2473525635.28,213883613.18,222981514.75
CJ CGV,2011,0.0352744807121661,3.4,-19.66,4.97,896.18,14832.03,29.73733,1.79679,0.87422,203.28,933435853.6,628506136.84,44880940.16,68180904.71
대웅제약,2011,-0.18461861956578873,3.4,-19.66,14.82,4663.43,36689.32,6.2186,0.79042,0.44871,37.54,498461064.43,710547146.3,59288726.41,67398964.53
대한유화,2011,-0.348536454641332,3.4,-19.66,3.94,4621.51,117854.71,19.36596,0.75941,0.28735,65.44,1271667971.39,2024561499.76,40939426.6,79428004.92
SK네트웍스,2011,-0.16878592579689955,3.4,-19.66,4.4,587.11,13013.33,17.20291,0.77613,0.09108,239.4,11109763424.39,27535570532.22,360139730.05,239596426.9
롯데정밀화학,2011,-0.06628845800966421,3.4,-19.66,6.89,2846.1,42604.51,21.43284,1.43177,1.1801,28.63,1400452452.63,1333620734.78,74628182.46,137996777.46
현대그린푸드,2011,0.18998829039812648,3.4,-19.66,7.36,901.25,13567.31,17.91956,1.19036,1.1337,35.01,1682601199.0,1336962474.0,66940937.0,95430194.0
현대홈쇼핑,2011,0.017561807331628376,3.4,-19.66,18.97,12658.84,72437.58,10.50649,1.83606,2.24283,31.13,1139831172.25,711600729.9,154524521.5,160953541.78
영원무역,2011,0.7149352920601608,3.4,-19.66,24.31,2869.12,13454.0,9.67196,2.06258,1.14374,46.41,844587128.13,990188523.1,182288463.12,144175055.66
태광산업,2011,-0.28297350168948965,3.4,-19.66,15.34,265255.74,2207483.52,4.67473,0.56173,0.34472,49.15,3834259530.25,4004987071.77,455819095.53,463860689.24
락앤락,2011,-0.24063623717157934,3.4,-19.66,10.57,974.87,10483.63,39.33858,3.65808,4.1805,28.2,721424627.1,476113627.86,77892217.04,66359698.17
코리안리,2011,-0.08716870635933627,3.4,-19.66,2.1,217.2,11157.69,69.06077,1.34436,0.25711,453.24,6959587145.95,5180734626.01,50815998.84,27396990.0
동양생명,2011,-0.1305308049653492,3.4,-19.66,8.46,903.55,11011.93,16.15849,1.32583,0.39049,1140.49,14654868012.06,3126855134.74,131358858.24,124885627.0
하나투어,2011,0.12274951633094333,3.4,-19.66,17.47,1812.24,12304.06,18.87167,2.77957,1.48128,125.3,296348919.92,268196055.15,24002487.35,27617516.72
SPC삼립,2011,0.37662841191067,3.4,-19.66,3.91,718.25,18443.95,16.91612,0.65875,0.16715,128.9,360572786.4,627219550.58,6977521.49,20728610.73
풍산,2011,-0.20132021812299428,3.4,-19.66,4.34,1451.76,33579.25,18.04706,0.78024,0.25482,178.48,2626526475.94,2881349834.72,98910395.01,90110035.87
한세실업,2011,0.6255796559461482,3.4,-19.66,29.66,1241.28,4714.82,5.71185,1.50377,0.28496,172.43,513994136.27,995211167.6,73027818.46,57040276.66
넥센타이어,2011,0.11344639612356144,3.4,-19.66,16.74,865.36,5600.52,21.37839,3.30326,1.31212,236.65,1902240724.29,1429955655.94,111979471.25,139806927.94
부광약품,2011,-0.005801997649823698,3.4,-19.66,3.29,236.87,7960.99,60.58175,1.80254,3.83425,35.09,258085935.95,101218841.17,8632790.71,12200018.03
아이에스동서,2011,-0.33150414311584264,3.4,-19.66,4.4,603.78,14197.29,22.85601,0.97202,0.7515,145.65,973623948.79,468877994.7,33752791.56,52069151.61
동원산업,2011,0.31106209369052684,3.4,-19.66,13.53,20330.69,140207.62,8.28796,1.20179,0.42698,163.04,1306812956.46,1327216488.07,96775891.49,119877802.24
세아베스틸,2011,-0.27547099421749677,3.4,-19.66,18.94,6317.49,35915.96,7.28137,1.28077,0.66392,55.23,1999402384.51,2484734008.77,301891268.07,330416247.61
한일시멘트,2011,-0.14375944832156395,3.4,-19.66,1.36,2293.64,170759.3,17.61392,0.23659,0.35121,64.91,2095313484.59,867940739.23,29892548.0,50415015.77
LG상사,2011,-0.045442026989809925,3.4,-19.66,21.94,6392.59,34579.64,7.37573,1.36352,0.13066,264.68,4941008405.21,13986834138.12,162527302.55,319209708.57
대웅,2011,0.05441793474857537,3.4,-19.66,14.06,3801.13,32801.16,3.85412,0.44663,0.56671,41.91,476954187.46,294259305.89,51319478.96,53743061.73
더존비즈온,2011,-0.05275534198957166,3.4,-19.66,7.73,165.84,2958.84,40.40039,2.2644,1.71882,158.94,167409572.68,115664742.1,17647498.95,13707383.0
롯데칠성,2011,0.1406936053753145,3.4,-19.66,3.56,56670.38,1576618.76,25.85125,0.9292,0.9526,67.88,3599175580.3,2087238836.25,175220009.04,174752206.2
동국제강,2011,-0.4723012001316853,3.4,-19.66,0.2,121.08,45606.07,169.30955,0.4495,0.14334,222.55,10152885174.0,8841939944.0,279061780.0,281535482.0
휴켐스,2011,0.016851227732306295,3.4,-19.66,11.55,1249.92,10738.18,15.96102,1.85786,1.43855,56.07,711538354.47,566909488.85,58665528.28,70315994.99
휠라코리아,2011,-0.044697836455025786,3.4,-19.66,0.22,236.26,32607.02,328.87497,2.38292,0.93613,181.12,839412055.26,764406104.87,109219578.66,9961196.88
